Year,Winner,Runner Up,Also Promoted
1958-59,Plymouth Argyle ,Hull City,
1959-60,Southampton ,Norwich City,
1960-61,Bury,Walsall,
1961-62,Portsmouth ,Grimsby Town,
1962-63,Northampton Town,Swindon Town,
1963-64,Coventry City ,Crystal Palace,
1964-65,Carlisle United,Bristol City,
1965-66,Hull City ,Millwall,
1966-67,Queens Park Rangers ,Middlesbrough,
1967-68,Oxford United,Bury,
1968-69,Watford,Swindon Town,
1969-70,Leyton Orient ,Luton Town,
1970-71,Preston North End,Fulham,
1971-72,Aston Villa,Brighton and Hove Albion,
1972-73,Bolton Wanderers,Notts County,
1973-74,Oldham Athletic ,Bristol Rovers,York City
1974-75,Blackburn Rovers,Plymouth Argyle,Charlton Athletic
1975-76,Hereford United,Cardiff City,Millwall
1976-77,Mansfield Town,Brighton and Hove Albion,Crystal Palace
1977-78,Wrexham,Cambridge United,Preston North End
1978-79,Shrewsbury Town,Watford,Swansea City
1979-80,Grimsby Town ,Blackburn Rovers,Sheffield Wednesday
1980-81,Rotherham United ,Barnsley,Charlton Athletic
1981-82,Burnley,Carlisle United,Fulham
1982-83,Portsmouth ,Cardiff City,Huddersfield Town
1983-84,Oxford United ,Wimbledon,Sheffield United
1984-85,Bradford City ,Millwall,Hull City
1985-86,Reading ,Plymouth Argyle,Derby County
1986-87,AFC Bournemouth,Middlesbrough,Swindon Town
1987-88,Sunderland,Brighton and Hove Albion,Walsall
1988-89,Wolverhampton Wanderers ,Sheffield United,Port Vale
1989-90,Bristol Rovers,Bristol City,Notts County
1990-91,Cambridge United,Southend United,Tranmere Rovers
1991-92,Brentford ,Birmingham City,Peterborough United
1992-93,Stoke City ,Bolton Wanderers,West Bromwich Albion
1993-94,Reading ,Port Vale,Burnley
1994-95,Birmingham City,Brentford (not promoted),Huddersfield Town
1995-96,Swindon Town,Oxford United,Bradford City
1996-97,Bury ,Stockport County,Crewe Alexandra
1997-98,Watford ,Bristol City,Grimsby Town
1998-99,Fulham ,Walsall,Manchester City
1999-00,Preston North End ,Burnley,Gillingham
2000-01,Millwall ,Rotherham,Walsall
2001-02,Brighton & Hove Albion ,Reading,Stoke City
2002-03,Wigan Athletic,Crewe Alexandra,Cardiff City
2003-04,Plymouth Argyle ,Queens Park Rangers,Brighton & Hove Albion
2004-05,Luton Town ,Hull City,Sheffield Wednesday
2005-06,Southend United,Colchester United,Barnsley
2006-07,Scunthorpe United ,Bristol City,Blackpool
2007-08,Swansea City ,Nottingham Forest,Doncaster Rovers
2008-09,Leicester City,Peterborough United,Scunthorpe United
2009-10,Norwich City ,Leeds United,Millwall
2010-11,Brighton & Hove Albion ,Southampton,Peterborough United
2011-12,Charlton Athletic ,Sheffield Wednesday,Huddersfield Town
2012-13,Doncaster Rovers ,AFC Bournemouth,Yeovil Town
2013-14,Wolverhampton Wanderers ,Brentford,Rotherham United
2014-15,Bristol City ,Milton Keynes Dons,Preston North End
2015-16,Wigan Athletic ,Burton Albion,Barnsley
2016-17,Sheffield United,Bolton Wanderers,Millwall
2017-18,Wigan Athletic ,Blackburn Rovers,Rotherham United
2018-19,Luton Town ,Barnsley,Charlton Athletic
