Year,Winners,Score,Runners-Up,
1871-72,Wanderers,1-0,Royal Engineers,
1872-73,Wanderers,2-0,Oxford University,
1873-74,Oxford University,2-0,Royal Engineers,
1874-75 ,Royal Engineers,2-0,Old Etonians,
1875-76 ,Wanderers,3-0,Old Etonians,
1876-77,Wanderers,2-1,Oxford University,
1877-78,Wanderers,3-1,Royal Engineers,
1878-79,Old Etonians,1-0,Clapham Rovers,
1879-80,Clapham Rovers,1-0,Oxford University,
1880-81,Old Carthusians,3-0,Old Etonians,
1881-82,Old Etonians,1-0,Blackburn Rovers,
1882-83,Blackburn Olympic,2-1,Old Etonians,
1883-84,Blackburn Rovers,2-1,Queen's Park,
1884-85,Blackburn Rovers,2-0,Queen's Park,
1885-86 ,Blackburn Rovers,2-0,West Bromwich Albion,
1886-87,Aston Villa,2-0,West Bromwich Albion,
1887-88,West Bromwich Albion,2-1,Preston North End,
1888-89,Preston North End,3-0,Wolverhampton Wanderers,
1889-90,Blackburn Rovers,6-1,The Wednesday,
1890-91,Blackburn Rovers,3-1,Notts County,
1891-92,West Bromwich Albion,3-0,Aston Villa,
1892-93,Wolverhampton Wanderers,1-0,Everton,
1893-94,Notts County,4-1,Bolton Wanderers,
1894-95,Aston Villa,1-0,West Bromwich Albion,
1895-96,The Wednesday,2-1,Wolverhampton Wanderers,
1896-97,Aston Villa,3-2,Everton,
1897-98,Nottingham Forest,3-1,Derby County,
1898-99,Sheffield United,4-1,Derby County,
1899-1900,Bury,4-0,Southampton,
1900-01 ,Tottenham Hotspur,3-1,Sheffield United,
1901-02 ,Sheffield United,2-1,Southampton,
1902-03,Bury,6-0,Derby County,
1903-04,Manchester City,1-0,Bolton Wanderers,
1904-05,Aston Villa,2-0,Newcastle United,
1905-06,Everton,1-0,Newcastle United,
1906-07,The Wednesday,2-1,Everton,
1907-08,Wolverhampton Wanderers,3-1,Newcastle United,
1908-09,Manchester United,1-0,Bristol City,
1909-10 ,Newcastle United,2-0,Barnsley,
1910-11 ,Bradford City,1-0,Newcastle United,
1911-12 ,Barnsley,1-0,West Bromwich Albion,
1912-13,Aston Villa,1-0,Sunderland,
1913-14,Burnley,1-0,Liverpool,
1914-15,Sheffield United,3-0,Chelsea,
1919-20,Aston Villa,1-0,Huddersfield Town,
1920-21,Tottenham Hotspur,1-0,Wolverhampton Wanderers,
1921-22,Huddersfield Town,1-0,Preston North End,
1922-23,Bolton Wanderers,2-0,West Ham United,
1923-24,Newcastle United,2-0,Aston Villa,
1924-25,Sheffield United,1-0,Cardiff City,
1925-26,Bolton Wanderers,1-0,Manchester City,
1926-27,Cardiff City,1-0,Arsenal,
1927-28,Blackburn Rovers,3-1,Huddersfield Town,
1928-29,Bolton Wanderers,2-0,Portsmouth,
1929-30,Arsenal,2-0,Huddersfield Town,
1930-31,West Bromwich Albion,2-1,Birmingham,
1931-32,Newcastle United,2-1,Arsenal,
1932-33,Everton,3-0,Manchester City,
1933-34,Manchester City,2-1,Portsmouth,
1934-35,Sheffield Wednesday,4-2,West Bromwich Albion,
1935-36,Arsenal,1-0,Sheffield United,
1936-37,Sunderland,3-1,Preston North End,
1937-38,Preston North End,1-0,Huddersfield Town,
1938-39,Portsmouth,4-1,Wolverhampton Wanderers,
1945-46,Derby County,4-1,Charlton Athletic,
1946-47,Charlton Athletic,1-0,Burnley,
1947-48,Manchester United,4-2,Blackpool,
1948-49,Wolverhampton Wanderers,3-1,Leicester City,
1949-50,Arsenal,2-0,Liverpool,
1950-51,Newcastle United,2-0,Blackpool,
1951-52,Newcastle United,1-0,Arsenal,
1952-53,Blackpool,4-3,Bolton Wanderers,
1953-54,West Bromwich Albion,3-2,Preston North End,
1954-55,Newcastle United,3-1,Manchester City,
1955-56,Manchester City,3-1,Birmingham City,
1956-57,Aston Villa,2-1,Manchester United,
1957-58,Bolton Wanderers,2-0,Manchester United,
1958-59,Nottingham Forest,2-1,Luton Town,
1959-60,Wolverhampton Wanderers,3-0,Blackburn Rovers,
1960-61,Tottenham Hotspur,2-0,Leicester City,
1961-62,Tottenham Hotspur,3-1,Burnley,
1962-63,Manchester United,3-1,Leicester City,
1963-64,West Ham United,3-2,Preston North End,
1964-65,Liverpool,2-1,Leeds United,
1965-66,Everton,3-2,Sheffield Wednesday,
1966-67,Tottenham Hotspur,2-1,Chelsea,
1967-68,West Bromwich Albion,1-0,Everton,
1968-69,Manchester City,1-0,Leicester City,
1969-70 ,Chelsea,2-1,Leeds United,
1970-71,Arsenal,2-1,Liverpool,
1971-72,Leeds United,1-0,Arsenal,
1972-73,Sunderland,1-0,Leeds United,
1973-74,Liverpool,3-0,Newcastle United,
1974-75,West Ham United,2-0,Fulham,
1975-76,Southampton,1-0,Manchester United,
1976-77,Manchester United,2-1,Liverpool,
1977-78,Ipswich Town,1-0,Arsenal,
1978-79,Arsenal,3-2,Manchester United,
1979-80,West Ham United,1-0,Arsenal,
1980-81 ,Tottenham Hotspur,3-2,Manchester City,
1981-82 ,Tottenham Hotspur,1-0,Queens Park Rangers,
1982-83 ,Manchester United,4-0,Brighton & Hove Albion,
1983-84,Everton,2-0,Watford,
1984-85,Manchester United,1-0,Everton,
1985-86,Liverpool,3-1,Everton,
1986-87,Coventry City,3-2,Tottenham Hotspur,
1987-88,Wimbledon,1-0,Liverpool,
1988-89,Liverpool,3-2,Everton,
1989-90 ,Manchester United,1-0,Crystal Palace,
1990-91,Tottenham Hotspur,2-1,Nottingham Forest,
1991-92,Liverpool,2-0,Sunderland,
1992-93 ,Arsenal,2-1,Sheffield Wednesday,
1993-94,Manchester United,4-0,Chelsea,
1994-95,Everton,1-0,Manchester United,
1995-96,Manchester United,1-0,Liverpool,
1996-97,Chelsea,2-0,Middlesbrough,
1997-98,Arsenal,2-0,Newcastle United,
1998-99,Manchester United,2-0,Newcastle United,
1999-2000,Chelsea,1-0,Aston Villa,
2000-01,Liverpool,2-1,Arsenal,
2001-02,Arsenal,2-0,Chelsea,
2002-03,Arsenal,1-0,Southampton,
2003-04,Manchester United,3-0,Millwall,
2004-05,Arsenal,0-0,Manchester United,
2005-06,Liverpool,3-3,West Ham United,
2006-07,Chelsea,1-0,Manchester United,
2007-08,Portsmouth,1-0,Cardiff City,
2008-09,Chelsea,2-1,Everton,
2009-10,Chelsea,1-0,Portsmouth,
2010-11,Manchester City,1-0,Stoke City,
2011-12,Chelsea,2-1,Liverpool,
2012-13,Wigan Athletic,1-0,Manchester City,
2013-14,Arsenal,3-2,Hull City,
2014-15,Arsenal,4-0,Aston Villa,
2015-16,Manchester United,2-1,Crystal Palace,
2016-17,Arsenal,2-1,Chelsea,
2017-18,Chelsea,1-0,Manchester United,
2018-19,Manchester City,6-0,Watford,
