Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,8/3/2019,15:00 (09:00),Bury,,MK Dons,,Gigg Lane,,Match Report,
1,Sat,8/3/2019,15:00 (09:00),Shrewsbury,,Portsmouth,,Montgomery Waters Meadow,,,
1,Sat,8/3/2019,15:00 (09:00),AFC Wimbledon,,Rotherham Utd,,Cherry Red Records Fans' Stadium,,,
1,Sat,8/3/2019,15:00 (09:00),Coventry City,,Southend United,,St Andrew's Trillion Trophy Stadium,,,
1,Sat,8/3/2019,15:00 (09:00),Lincoln City,,Acc'ton Stanley,,Sincil Bank Stadium,,,
1,Sat,8/3/2019,15:00 (09:00),Wycombe,,Bolton,,Adams Park,,,
1,Sat,8/3/2019,15:00 (09:00),Blackpool,,Bristol Rovers,,Bloomfield Road,,,
1,Sat,8/3/2019,15:00 (09:00),P'borough Utd,,Fleetwood Town,,ABAX Stadium,,,
1,Sat,8/3/2019,15:00 (09:00),Sunderland,,Oxford United,,Stadium of Light,,,
1,Sat,8/3/2019,15:00 (09:00),Burton Albion,,Ipswich Town,,Pirelli Stadium,,,
1,Sat,8/3/2019,15:00 (09:00),Tranmere Rovers,,Rochdale,,Prenton Park,,,
1,Sat,8/3/2019,15:00 (09:00),Doncaster,,Gillingham,,Keepmoat Stadium,,,
,,,,,,,,,,,
2,Sat,8/10/2019,15:00 (09:00),Fleetwood Town,,AFC Wimbledon,,Highbury Stadium,,,
2,Sat,8/10/2019,15:00 (09:00),Bristol Rovers,,Wycombe,,Memorial Stadium,,,
2,Sat,8/10/2019,15:00 (09:00),Acc'ton Stanley,,Bury,,Wham Stadium,,,
2,Sat,8/10/2019,15:00 (09:00),Bolton,,Coventry City,,Macron Stadium,,,
2,Sat,8/10/2019,15:00 (09:00),Rochdale,,Doncaster,,Crown Oil Arena,,,
2,Sat,8/10/2019,15:00 (09:00),Southend United,,Blackpool,,Roots Hall Stadium,,,
2,Sat,8/10/2019,15:00 (09:00),Gillingham,,Burton Albion,,MEMS Priestfield Stadium,,,
