Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2019-08-03,12:30 (06:30),Salford City,,Stevenage,,The Peninsula Stadium,,,
1,Sat,2019-08-03,15:00 (09:00),Morecambe,,Grimsby Town,,Globe Arena,,,
1,Sat,2019-08-03,15:00 (09:00),Colchester Utd,,Port Vale,,JobServe Community Stadium,,,
1,Sat,2019-08-03,15:00 (09:00),Northampton,,Walsall,,Academy Stadium,,,
1,Sat,2019-08-03,15:00 (09:00),Newport County,,Mansfield Town,,Rodney Parade,,,
1,Sat,2019-08-03,15:00 (09:00),Crewe Alexandra,,Plymouth Argyle,,Alexandra Stadium,,,
1,Sat,2019-08-03,15:00 (09:00),Bradford City,,Cambridge Utd,,Northern Commercials Stadium,,,
1,Sat,2019-08-03,15:00 (09:00),FG Rovers,,Oldham Athletic,,The New Lawn,,,
1,Sat,2019-08-03,15:00 (09:00),Carlisle United,,Crawley Town,,Brunton Park,,,
1,Sat,2019-08-03,15:00 (09:00),Scunthorpe Utd,,Swindon Town,,Glanford Park,,,
1,Sat,2019-08-03,15:00 (09:00),Exeter City,,Macclesfield,,St. James' Park,,,
1,Sat,2019-08-03,15:00 (09:00),Leyton Orient,,Cheltenham,,Matchroom Stadium,,,
,,,,,,,,,,,
2,Sat,2019-08-10,13:00 (07:00),Grimsby Town,,Bradford City,,Blundell Park,,,
2,Sat,2019-08-10,15:00 (09:00),Mansfield Town,,Morecambe,,One Call Stadium,,,
2,Sat,2019-08-10,15:00 (09:00),Cambridge Utd,,Newport County,,The Abbey Stadium,,,
2,Sat,2019-08-10,15:00 (09:00),Oldham Athletic,,Crewe Alexandra,,Boundary Park,,,
2,Sat,2019-08-10,15:00 (09:00),Crawley Town,,Salford City,,Checkatrade.com Stadium,,,
2,Sat,2019-08-10,15:00 (09:00),Cheltenham,,Scunthorpe Utd,,Jonny-Rocks Stadium,,,
2,Sat,2019-08-10,15:00 (09:00),Plymouth Argyle,,Colchester Utd,,Home Park,,,
2,Sat,2019-08-10,15:00 (09:00),Macclesfield,,Leyton Orient,,Moss Rose Ground,,,
2,Sat,2019-08-10,15:00 (09:00),Swindon Town,,Carlisle United,,The Energy Check County Ground,,,
2,Sat,2019-08-10,15:00 (09:00),Stevenage,,Exeter City,,The Lamex Stadium,,,
2,Sat,2019-08-10,15:00 (09:00),Walsall,,FG Rovers,,The Banks's Stadium,,,
2,Sat,2019-08-10,15:00 (09:00),Port Vale,,Northampton,,Vale Park,,,
,,,,,,,,,,,
3,Sat,2019-08-17,15:00 (09:00),Exeter City,,Swindon Town,,St. James' Park,,,
3,Sat,2019-08-17,15:00 (09:00),Morecambe,,Cheltenham,,Globe Arena,,,
3,Sat,2019-08-17,15:00 (09:00),Newport County,,Plymouth Argyle,,Rodney Parade,,,
3,Sat,2019-08-17,15:00 (09:00),Leyton Orient,,Stevenage,,Matchroom Stadium,,,
3,Sat,2019-08-17,15:00 (09:00),Salford City,,Port Vale,,The Peninsula Stadium,,,
3,Sat,2019-08-17,15:00 (09:00),Northampton,,Macclesfield,,Academy Stadium,,,
3,Sat,2019-08-17,15:00 (09:00),Scunthorpe Utd,,Crawley Town,,Glanford Park,,,
3,Sat,2019-08-17,15:00 (09:00),Bradford City,,Oldham Athletic,,Northern Commercials Stadium,,,
3,Sat,2019-08-17,15:00 (09:00),Carlisle United,,Mansfield Town,,Brunton Park,,,
3,Sat,2019-08-17,15:00 (09:00),Crewe Alexandra,,Walsall,,Alexandra Stadium,,,
3,Sat,2019-08-17,15:00 (09:00),Colchester Utd,,Cambridge Utd,,JobServe Community Stadium,,,
3,Sat,2019-08-17,15:00 (09:00),FG Rovers,,Grimsby Town,,The New Lawn,,,
,,,,,,,,,,,
4,Tue,2019-08-20,19:45 (13:45),Cheltenham,,Carlisle United,,Jonny-Rocks Stadium,,,
4,Tue,2019-08-20,19:45 (13:45),Walsall,,Newport County,,The Banks's Stadium,,,
4,Tue,2019-08-20,19:45 (13:45),Swindon Town,,Northampton,,The Energy Check County Ground,,,
4,Tue,2019-08-20,19:45 (13:45),Cambridge Utd,,Scunthorpe Utd,,The Abbey Stadium,,,
4,Tue,2019-08-20,19:45 (13:45),Grimsby Town,,Colchester Utd,,Blundell Park,,,
4,Tue,2019-08-20,19:45 (13:45),Plymouth Argyle,,Salford City,,Home Park,,,
4,Tue,2019-08-20,19:45 (13:45),Oldham Athletic,,Exeter City,,Boundary Park,,,
4,Tue,2019-08-20,19:45 (13:45),Mansfield Town,,Leyton Orient,,One Call Stadium,,,
4,Tue,2019-08-20,19:45 (13:45),Crawley Town,,Crewe Alexandra,,Checkatrade.com Stadium,,,
