Week_ID,hometeam,homescore,awayteam,awayscore
1,D.C. United,,Colorado,
1,Montreal,,New England,
1,Houston,,LA Galaxy,
1,San Jose,,Toronto FC,
1,FC Dallas,,Philadelphia,
1,Orlando City,,Real Salt Lake,
1,Nashville SC,,Atlanta,
1,Vancouver,,Sporting KC,
1,Columbus,,NYCFC,
1,NY Red Bulls,,FC Cincinnati,
1,Seattle,,Chicago,
1,Los Angeles FC,,Inter Miami,
1,Portland,,Minnesota,
2,New England,,Chicago,
2,Real Salt Lake,,NY Red Bulls,
2,FC Dallas,,Montreal,
2,D.C. United,,Inter Miami,
2,Toronto FC,,NYCFC,
2,Atlanta,,FC Cincinnati,
2,San Jose,,Minnesota,
2,Sporting KC,,Houston,
2,Colorado,,Orlando City,
2,Seattle,,Columbus,
2,LA Galaxy,,Vancouver,
2,Portland,,Nashville SC,
2,Los Angeles FC,,Philadelphia,
3,NYCFC,,FC Dallas,
3,Inter Miami,,LA Galaxy,
3,Toronto FC,,Nashville SC,
3,Columbus,,Real Salt Lake,
3,FC Cincinnati,,D.C. United,
3,Vancouver,,Colorado,
3,Atlanta,,Sporting KC,
3,Orlando City,,Chicago,
3,Philadelphia,,San Jose,
3,Houston,,Seattle,
3,New England,,Portland,
3,Minnesota,,NY Red Bulls,
4,NYCFC,,Vancouver,
4,Nashville SC,,Columbus,
4,Minnesota,,Montreal,
4,FC Cincinnati,,Toronto FC,
4,Chicago,,Atlanta,
4,Inter Miami,,NY Red Bulls,
4,Real Salt Lake,,New England,
4,Colorado,,Houston,
4,Seattle,,FC Dallas,
4,San Jose,,Sporting KC,
4,Philadelphia,,D.C. United,
4,LA Galaxy,,Orlando City,
4,Los Angeles FC,,Portland,
5,NY Red Bulls,,Orlando City,
5,Sporting KC,,Real Salt Lake,
5,Portland,,Philadelphia,
6,D.C. United,,NYCFC,
6,Nashville SC,,Seattle,
6,Chicago,,NY Red Bulls,
6,Orlando City,,Montreal,
6,FC Dallas,,Los Angeles FC,
6,Columbus,,Toronto FC,
6,Houston,,Portland,
6,New England,,Colorado,
6,Minnesota,,San Jose,
6,Vancouver,,Real Salt Lake,
6,LA Galaxy,,Sporting KC,
6,Inter Miami,,Philadelphia,
6,FC Cincinnati,,Atlanta,
7,Philadelphia,,Montreal,
7,Houston,,Inter Miami,
7,San Jose,,D.C. United,
7,Columbus,,Orlando City,
7,New England,,FC Cincinnati,
7,Toronto FC,,NY Red Bulls,
7,Minnesota,,LA Galaxy,
7,Nashville SC,,Sporting KC,
7,Real Salt Lake,,Colorado,
7,Vancouver,,Los Angeles FC,
7,Portland,,FC Dallas,
7,NYCFC,,Chicago,
8,D.C. United,,Toronto FC,
8,Philadelphia,,LA Galaxy,
8,Houston,,Minnesota,
8,Colorado,,San Jose,
8,NY Red Bulls,,New England,
8,Montreal,,Houston,
8,Toronto FC,,LA Galaxy,
8,Inter Miami,,San Jose,
8,Orlando City,,FC Cincinnati,
8,Minnesota,,FC Dallas,
8,Nashville SC,,D.C. United,
8,Sporting KC,,Colorado,
8,Seattle,,Vancouver,
8,Los Angeles FC,,Real Salt Lake,
8,Chicago,,Columbus,
8,Philadelphia,,NYCFC,
8,Atlanta,,Portland,
9,New England,,Montreal,
9,Inter Miami,,Toronto FC,
9,Chicago,,Los Angeles FC,
9,Columbus,,Philadelphia,
9,Sporting KC,,Minnesota,
9,Real Salt Lake,,Seattle,
9,Colorado,,FC Dallas,
9,Portland,,Vancouver,
9,LA Galaxy,,Houston,
9,Orlando City,,Atlanta,
9,D.C. United,,NY Red Bulls,
9,NYCFC,,Nashville SC,
9,FC Cincinnati,,San Jose,
10,Columbus,,Minnesota,
10,Toronto FC,,New England,
10,Real Salt Lake,,Inter Miami,
10,San Jose,,Vancouver,
10,Montreal,,Orlando City,
10,Toronto FC,,Vancouver,
10,Portland,,LA Galaxy,
10,Seattle,,D.C. United,
10,NY Red Bulls,,Columbus,
10,New England,,NYCFC,
10,Minnesota,,Colorado,
10,Philadelphia,,FC Cincinnati,
10,FC Dallas,,Chicago,
10,Los Angeles FC,,Sporting KC,
10,Atlanta,,Real Salt Lake,
10,Houston,,San Jose,
10,Nashville SC,,Inter Miami,
11,Orlando City,,Houston,
11,FC Cincinnati,,NY Red Bulls,
11,Colorado,,LA Galaxy,
11,Columbus,,Montreal,
11,Chicago,,Inter Miami,
11,Sporting KC,,Toronto FC,
11,D.C. United,,Houston,
11,FC Cincinnati,,New England,
11,Orlando City,,Minnesota,
11,Nashville SC,,FC Dallas,
11,Philadelphia,,Atlanta,
11,Real Salt Lake,,Portland,
11,Seattle,,Colorado,
11,San Jose,,Los Angeles FC,
11,LA Galaxy,,NY Red Bulls,
12,NYCFC,,Toronto FC,
12,Nashville SC,,Philadelphia,
12,Minnesota,,Real Salt Lake,
12,San Jose,,Seattle,
12,Montreal,,Chicago,
12,NY Red Bulls,,Atlanta,
12,Los Angeles FC,,LA Galaxy,
12,Toronto FC,,FC Cincinnati,
12,D.C. United,,Orlando City,
12,NYCFC,,Colorado,
12,Vancouver,,Nashville SC,
12,New England,,Columbus,
12,Philadelphia,,Sporting KC,
12,Inter Miami,,Minnesota,
12,FC Dallas,,Houston,
12,Real Salt Lake,,San Jose,
12,Portland,,Seattle,
13,Montreal,,San Jose,
13,Real Salt Lake,,LA Galaxy,
13,Vancouver,,FC Dallas,
13,NY Red Bulls,,D.C. United,
13,New England,,Toronto FC,
13,Orlando City,,Columbus,
13,Minnesota,,Portland,
13,Chicago,,FC Cincinnati,
13,Houston,,Nashville SC,
13,Sporting KC,,Seattle,
13,Colorado,,Philadelphia,
13,Atlanta,,Inter Miami,
13,Los Angeles FC,,NYCFC,
14,Atlanta,,Toronto FC,
14,Columbus,,Vancouver,
14,Chicago,,Portland,
14,Inter Miami,,FC Cincinnati,
14,Seattle,,Montreal,
14,LA Galaxy,,D.C. United,
14,San Jose,,Atlanta,
14,Toronto FC,,Inter Miami,
14,Orlando City,,Portland,
14,FC Cincinnati,,Nashville SC,
14,Los Angeles FC,,Houston,
14,Chicago,,New England,
14,D.C. United,,Vancouver,
14,Philadelphia,,Columbus,
14,FC Dallas,,Sporting KC,
14,Montreal,,Colorado,
14,NYCFC,,NY Red Bulls,
14,Seattle,,Real Salt Lake,
14,LA Galaxy,,Minnesota,
15,NY Red Bulls,,Philadelphia,
15,New England,,D.C. United,
15,Real Salt Lake,,FC Dallas,
15,Sporting KC,,Orlando City,
15,Vancouver,,Montreal,
16,Portland,,Sporting KC,
16,Toronto FC,,Montreal,
16,Orlando City,,NY Red Bulls,
16,Columbus,,Chicago,
16,Minnesota,,Nashville SC,
16,D.C. United,,FC Cincinnati,
16,Inter Miami,,FC Dallas,
16,Philadelphia,,Real Salt Lake,
16,Houston,,Atlanta,
16,Colorado,,Los Angeles FC,
16,Vancouver,,Seattle,
16,LA Galaxy,,San Jose,
16,NYCFC,,New England,
17,Montreal,,Inter Miami,
17,NYCFC,,Atlanta,
17,New England,,Seattle,
17,Toronto FC,,Chicago,
17,Sporting KC,,LA Galaxy,
17,FC Dallas,,Columbus,
17,Vancouver,,NY Red Bulls,
17,Los Angeles FC,,Minnesota,
17,Portland,,Colorado,
17,Atlanta,,Philadelphia,
17,Montreal,,Los Angeles FC,
17,New England,,Orlando City,
17,FC Cincinnati,,NYCFC,
17,Columbus,,D.C. United,
17,Inter Miami,,Chicago,
17,FC Dallas,,Minnesota,
17,Colorado,,Toronto FC,
17,Sporting KC,,Vancouver,
17,San Jose,,Nashville SC,
17,Real Salt Lake,,Houston,
17,LA Galaxy,,Seattle,
17,NY Red Bulls,,Portland,
18,Seattle,,NYCFC,
18,Philadelphia,,Vancouver,
18,Sporting KC,,Portland,
18,FC Cincinnati,,FC Dallas,
18,Columbus,,Atlanta,
18,NY Red Bulls,,Montreal,
18,Chicago,,Orlando City,
18,Inter Miami,,New England,
18,Toronto FC,,Real Salt Lake,
18,D.C. United,,Minnesota,
18,Houston,,Colorado,
18,San Jose,,LA Galaxy,
18,Los Angeles FC,,Nashville SC,
19,Atlanta,,Montreal,
19,NYCFC,,Orlando City,
19,FC Cincinnati,,Inter Miami,
19,D.C. United,,FC Dallas,
19,Minnesota,,Vancouver,
19,Real Salt Lake,,Sporting KC,
19,Portland,,Columbus,
19,LA Galaxy,,Nashville SC,
19,Houston,,New England,
